SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7 Fleetwood Dr,Newburgh,NY,12550,259000,3,2,Newburgh,1819,8398,1955,31,142,,Active,,,https://www.redfin.com/NY/Newburgh/7-Fleetwood-Dr-12550/home/92387456,OneKey,H6233447,N,Y,41.5268484,-74.1274598
MLS Listing,,Multi-Family (2-4 Unit),23 City Ter Unit A,Newburgh,NY,12550,329000,5,2,Newburgh,1952,2500,1880,31,169,,Active,,,https://www.redfin.com/NY/Newburgh/23-City-Ter-12550/unit-A/home/92370039,OneKey,H6233436,N,Y,41.5013222,-74.0165836
MLS Listing,,Single Family Residential,367 N Montgomery St,Newburgh,NY,12550,465000,3,2,Newburgh,1426,5118,1930,31,326,,Active,,,https://www.redfin.com/NY/Newburgh/367-N-Montgomery-St-12550/home/56465318,OneKey,H6233119,N,Y,41.5160522,-74.0082717
MLS Listing,,Multi-Family (2-4 Unit),46 Henry Ave,Newburgh,NY,12550,349000,4,2,Newburgh,1783,3698,1900,32,196,,Active,,,https://www.redfin.com/NY/Newburgh/46-Henry-Ave-12550/home/54992767,OneKey,H6232832,N,Y,41.4918439,-74.0121691
MLS Listing,,Townhouse,15 Farrell St,Newburgh,NY,12550,230000,3,1,Newburgh,1116,2914,1918,32,206,,Active,,,https://www.redfin.com/NY/Newburgh/15-Farrell-St-12550/home/54928879,OneKey,H6233079,N,Y,41.5061938,-74.0235629
MLS Listing,,Vacant Land,3 Windswept Ln,Newburgh,NY,12550,225000,,,Newburg,,47916,,33,,,Active,,,https://www.redfin.com/NY/Newburgh/3-Windswept-Ln-12550/home/184319729,Global MLS,202312059,N,Y,41.5537698,-73.9938498
MLS Listing,,Vacant Land,Anchor Dr,Newburgh,NY,12550,219000,,,Anchorage On The Hudson,,56628,,33,,,Active,,,https://www.redfin.com/NY/Newburgh/Anchor-Dr-12550/home/92400483,OneKey,H6233098,N,Y,41.556387,-73.98867
MLS Listing,,Single Family Residential,140 Dogwood Ln,Newburgh,NY,12550,599000,4,3.5,Newburgh,3014,38633,1960,33,199,,Active,,,https://www.redfin.com/NY/Newburgh/140-Dogwood-Ln-12550/home/54945594,OneKey,H6231722,N,Y,41.5322811,-74.0270516
MLS Listing,,Vacant Land,267 Frozen Ridge Rd,Newburgh,NY,12550,795000,,,Newburgh,,1620432,,34,,,Active,,,https://www.redfin.com/NY/Newburgh/267-Frozen-Ridge-Rd-12550/home/72603166,OneKey,H6232772,N,Y,41.5680277,-74.028704
MLS Listing,,Single Family Residential,22 Hasbrouck St,Newburgh,NY,12550,100000,3,1,Newburgh,882,2500,1930,36,113,,Active,,,https://www.redfin.com/NY/Newburgh/22-Hasbrouck-St-12550/home/54936477,OneKey,H6231052,N,Y,41.4975177,-74.0172626
MLS Listing,,Multi-Family (2-4 Unit),61 Overlook Pl,Newburgh,NY,12550,325000,4,2.5,Newburgh,1812,2500,1900,40,179,,Active,,,https://www.redfin.com/NY/Newburgh/61-Overlook-Pl-12550/home/72598451,OneKey,H6225579,N,Y,41.4930044,-74.0126695
MLS Listing,,Single Family Residential,125 Highland Ave,Newburgh,NY,12550,599999,3,4,Newburgh,2400,50965,2022,40,250,,Active,,,https://www.redfin.com/NY/Newburgh/125-Highland-Ave-12550/home/179464093,OneKey,H6232036,N,Y,41.5205275,-74.0591303
MLS Listing,,Single Family Residential,129 Highland Ave,Newburgh,NY,12550,599999,3,4,Newburgh,2400,32234,2022,40,250,,Active,,,https://www.redfin.com/NY/Newburgh/129-Highland-Ave-12550/home/179848731,OneKey,H6232044,N,Y,41.5204714,-74.0595577
MLS Listing,,Single Family Residential,127 Highland Ave,Newburgh,NY,12550,599999,3,4,Newburgh,2400,25744,2022,40,250,,Active,,,https://www.redfin.com/NY/Newburgh/127-Highland-Ave-12550/home/179848725,OneKey,H6232041,N,Y,41.5205066,-74.0593272
MLS Listing,,Multi-Family (2-4 Unit),78 Leslie Rd,Newburgh,NY,12550,689000,7,5,Newburgh,3040,52272,1955,40,227,,Active,,,https://www.redfin.com/NY/Newburgh/78-Leslie-Rd-12550/home/72592947,OneKey,H6225195,N,Y,41.5504259,-74.019834
MLS Listing,,Single Family Residential,2 Pinnacle Blvd,Newburgh,NY,12550,950000,4,4,Pinnacle Of Hudson,3400,63283,2023,41,279,,Active,March-26-2023 01:45 PM,March-26-2023 02:30 PM,https://www.redfin.com/NY/Newburgh/2-Pinnacle-Blvd-12550/home/72587200,OneKey,H6231788,N,Y,41.5395382,-74.0036047
MLS Listing,,Multi-Family (2-4 Unit),271 Powell Ave,Newburgh,NY,12550,599000,7,4,Newburgh,2960,7500,1900,42,202,,Active,,,https://www.redfin.com/NY/Newburgh/271-Powell-Ave-12550/home/184158388,OneKey,H6231420,N,Y,41.5106203,-74.0152678
MLS Listing,,Single Family Residential,15 Commonwealth Ave,Newburgh,NY,12550,699000,3,2.5,Newburgh,2260,23958,1993,45,309,,Active,,,https://www.redfin.com/NY/Newburgh/15-Commonwealth-Ave-12550/home/54938305,OneKey,H6228850,N,Y,41.5273438,-74.0059811
MLS Listing,,Townhouse,134 Fullerton St,Newburgh,NY,12550,215000,2,2,Newburgh,884,,1918,46,243,,Active,,,https://www.redfin.com/NY/Newburgh/134-Fullerton-Ave-12550/home/72578360,OneKey,H6227177,N,Y,41.5061622,-74.0257881
MLS Listing,,Single Family Residential,25 Serenity Ln,Newburgh,NY,12550,373900,3,2,Newburgh,1984,15002,1945,46,188,,Active,,,https://www.redfin.com/NY/Newburgh/25-Serenity-Ln-12550/home/92386710,OneKey,H6230144,N,Y,41.5364951,-74.098692
MLS Listing,,Multi-Family (2-4 Unit),80 Balmville Rd,Newburgh,NY,12550,799000,3,2,Newburgh,2677,22612,1901,48,298,,Active,,,https://www.redfin.com/NY/Newburgh/80-Balmville-Rd-12550/home/54943145,OneKey,H6227899,N,Y,41.531915,-74.0123964
MLS Listing,,Single Family Residential,6 Massachusetts Dr,Newburgh,NY,12550,399999,3,2.5,Newburgh,1932,12781,1989,50,207,,Active,,,https://www.redfin.com/NY/Newburgh/6-Massachusetts-Dr-12550/home/54883859,OneKey,H6229933,N,Y,41.5368147,-74.0294844
MLS Listing,,Single Family Residential,7 Greiner Rd,Newburgh,NY,12550,650000,4,3.5,Newburgh,3324,52272,2002,52,196,,Active,,,https://www.redfin.com/NY/Newburgh/7-Greiner-Rd-12550/home/92400279,OneKey,H6228987,N,Y,41.5665276,-74.0058434
MLS Listing,,Single Family Residential,7 Park Ave,Newburgh,NY,12550,199000,3,1,Newburgh,1242,2701,1900,53,160,,Active,,,https://www.redfin.com/NY/Newburgh/7-Park-Ave-12550/home/72608132,OneKey,H6229805,N,Y,41.5077859,-74.0194948
MLS Listing,,Vacant Land,Ws Frozen Ridge Rd,Newburgh,NY,12550,134900,,,Apple Knolls Estates,,60984,,54,,,Active,,,https://www.redfin.com/NY/Newburgh/Ws-Frozen-Ridge-Rd-12550/home/92387881,OneKey,H6228862,N,Y,41.56293,-74.032053
MLS Listing,,Single Family Residential,524 Fostertown Rd,Newburgh,NY,12550,380000,4,2,Newburgh,1611,47916,1870,61,236,,Active,,,https://www.redfin.com/NY/Newburgh/524-Fostertown-Rd-12550/home/92361676,OneKey,H6181670,N,Y,41.5612707,-74.0507457
MLS Listing,,Single Family Residential,216 Sunset Cove Rd,Newburgh,NY,12550,525000,3,1,Newburgh,1073,3947,1971,63,489,,Active,,,https://www.redfin.com/NY/Newburgh/216-Sunset-Cove-Rd-12550/home/72583206,OneKey,H6226818,N,Y,41.5435183,-74.0980037
MLS Listing,,Single Family Residential,272 Gidney Ave,Newburgh,NY,12550,299900,3,1.5,Newburgh,1364,11700,1985,68,220,,Active,,,https://www.redfin.com/NY/Newburgh/272-Gidney-Ave-12550/home/72596324,OneKey,H6227069,N,Y,41.5104001,-74.0228744
MLS Listing,,Single Family Residential,23 Ramblewood Dr,Newburgh,NY,12550,549900,4,3.5,Fostertown Crossing,2324,29412,2000,70,237,,Active,,,https://www.redfin.com/NY/Newburgh/23-Ramblewood-Dr-12550/home/54946585,OneKey,H6222817,N,Y,41.555315,-74.042878
MLS Listing,,Single Family Residential,168 Washington St,Newburgh City,NY,12550,195000,3,1,Orange County,1200,10890,1900,70,163,,Active,,,https://www.redfin.com/NY/Newburgh/168-Washington-St-12550/home/92370147,MHMLS,413119,N,Y,41.498811,-74.014633
MLS Listing,,Multi-Family (2-4 Unit),694-696 Broadway,Newburgh,NY,12550,599000,5,4,Newburgh,3744,16117,1880,74,160,,Active,,,https://www.redfin.com/NY/Newburgh/694-Broadway-12550/home/92369859,OneKey,H6224189,N,Y,41.5023353,-74.0403088
MLS Listing,,Single Family Residential,41 Liberty Street Wh,Newburgh,NY,12550,365000,4,2.5,Newburgh,2043,3698,1901,80,179,,Active,,,https://www.redfin.com/NY/Newburgh/41-Liberty-Street-Wh-12550/home/54944699,OneKey,H6224783,N,Y,41.4962452,-74.0113054
MLS Listing,,Vacant Land,Wenmar Dr,Newburgh,NY,12550,324900,,,Newburgh,,77972,,81,,,Active,,,https://www.redfin.com/NY/Newburgh/Wenmar-Dr-12550/home/92366169,OneKey,H6225062,N,Y,41.520997,-74.046717
