SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),25 City Ter,Newburgh,NY,12550,210000,0,,Newburgh,1584,,1880,220,133,,Active,,,https://www.redfin.com/NY/Newburgh/25-City-Ter-12550/home/72598387,OneKey,H6203915,N,Y,41.5013946,-74.01652
MLS Listing,,Single Family Residential,20 Still Hollow Rd,Newburgh,NY,12550,649900,4,3.5,Orange County,2896,239580,1995,225,224,,Active,,,https://www.redfin.com/NY/Newburgh/20-Still-Hollow-Rd-12550/home/92385656,MHMLS,410074,N,Y,41.5694058,-74.0357269
MLS Listing,,Single Family Residential,18 Breezy Knoll Dr,Newburgh,NY,12550,359900,3,1.5,Sunnyside Acres,2187,5950,1957,236,165,,Active,,,https://www.redfin.com/NY/Newburgh/18-Breezy-Knoll-Dr-12550/home/72613866,OneKey,H6201097,N,Y,41.5191529,-74.0288984
MLS Listing,,Vacant Land,Route 32,Newburgh,NY,12550,35900,,,Orange County,,43560,,239,,,Active,,,https://www.redfin.com/NY/Newburgh/Route-32-12550/home/72617879,MHMLS,409939,N,Y,41.541235,-74.065784
MLS Listing,,Vacant Land,Canterbury Drive Rd,Newburgh,NY,12550,199000,,,Canterbury,,278784,,239,,,Active,,,https://www.redfin.com/NY/Newburgh/Canterbury-Dr-12550/home/180663664,OneKey,H6201070,N,Y,41.564992,-74.0510659
MLS Listing,,Vacant Land,,Newburgh,NY,12550,798000,,,Newburgh,,217800,,245,,,Active,,,https://www.redfin.com/NY/Newburgh/Undisclosed-address-12550/home/72603614,OneKey,3417238,N,Y,41.5068071,-74.0067142
MLS Listing,,Vacant Land,0 Foxwood Dr,Newburgh,NY,12550,79995,,,Newburgh,,43560,,248,,,Active,,,https://www.redfin.com/NY/Newburgh/Foxwood-Dr-12550/home/72603113,OneKey,H6189282,N,Y,41.552164,-74.066688
MLS Listing,,Vacant Land,Oak Street & River Rd,Newburgh,NY,,240000,,,Orange,,117612,,265,,,Active,,,https://www.redfin.com/NY/Newburgh/Oak-Street-River-RD-Unknown/home/180255819,HVCRMLS,20222050,N,Y,41.5762452,-74.1005044
MLS Listing,,Single Family Residential,14 Ohio Dr,Newburgh,NY,12550,400000,4,2.5,Wedgewood,2051,25056,1988,273,195,,Active,,,https://www.redfin.com/NY/Newburgh/14-Ohio-Dr-12550/home/54886691,OneKey,H6193318,N,Y,41.5366828,-74.0315041
MLS Listing,,Vacant Land,Oak St & River Rd,Newburgh,NY,12550,240000,,,Newburgh,,117612,,274,,,Active,,,https://www.redfin.com/NY/Newburgh/Oak-St-River-Rd-12550/home/92385756,OneKey,H6191610,N,Y,41.560296,-73.984685
MLS Listing,,Single Family Residential,3 Pinnacle Blvd,Newburgh,NY,12550,1225000,4,5,Pinnacle On Hudson,6083,87120,2009,297,201,,Active,,,https://www.redfin.com/NY/Newburgh/3-Pinnacle-Blvd-12550/home/91491417,OneKey,H6187443,N,Y,41.5401062,-74.0026987
MLS Listing,,Single Family Residential,169 Holmes Rd,Newburgh,NY,12550,149900,3,1.5,Newburgh,2214,47916,1850,299,68,,Active,,,https://www.redfin.com/NY/Newburgh/169-Holmes-Rd-12550/home/92386130,OneKey,H6187994,N,Y,41.5620047,-74.0275565
MLS Listing,,Single Family Residential,7 Highland Ter,Marlboro,NY,12550,636000,3,3,Marlboro,2600,,2022,302,245,,Active,,,https://www.redfin.com/NY/Newburgh/7-Highland-Ter-12550/home/146406470,OneKey,H6187353,N,Y,41.5578683,-74.0026658
MLS Listing,,Single Family Residential,6 Highland Ter,Marlboro,NY,12550,636000,3,3,Marlboro,2600,,2022,302,245,,Active,,,https://www.redfin.com/NY/Newburgh/6-Highland-Ter-12550/home/143750286,OneKey,H6187348,N,Y,41.5577064,-74.003669
MLS Listing,,Single Family Residential,66 Highland Ter,Marlboro,NY,12550,636000,3,3,Marlboro,2600,,2022,302,245,,Active,,,https://www.redfin.com/NY/Newburgh/66-Highland-Ter-12550/home/54935774,OneKey,H6187230,N,Y,41.5558018,-73.9978553
MLS Listing,,Vacant Land,River Rd,Newburgh,NY,12550,250000,,,Newburgh,,191664,,384,,,Active,,,https://www.redfin.com/NY/Newburgh/River-Rd-12550/home/92386178,OneKey,H6166383,N,Y,41.549573,-73.998896
MLS Listing,,Vacant Land,38 Route 17k,Newburgh,NY,12550,6000000,,,Newburgh,,814572,,385,,,Active,,,https://www.redfin.com/NY/Newburgh/38-New-York-17K-12550/home/178530416,OneKey,H6168629,N,Y,41.5037327,-74.0564936
MLS Listing,,Vacant Land,Lakeside Rd,Newburgh,NY,12550,720000,,,Newburgh,,3837636,,456,,,Active,,,https://www.redfin.com/NY/Newburgh/Lakeside-Rd-12550/home/72613825,OneKey,H6158575,N,Y,41.529758,-74.101427
MLS Listing,,Multi-Family (2-4 Unit),157 Chambers St,Newburgh,NY,12550,274500,0,,Newburgh,2640,2500,1900,701,104,,Active,,,https://www.redfin.com/NY/Newburgh/157-Chambers-St-12550/home/54993519,OneKey,H6109183,N,Y,41.5061181,-74.011708
MLS Listing,,Vacant Land,9 Sky View Ct,Newburgh,NY,12550,275000,,,Kahn Subdivision,,91476,,1140,,,Active,,,https://www.redfin.com/NY/Newburgh/9-Sky-View-CT-12550/home/170499019,OneKey,H6007226,N,Y,41.5034271,-74.0104178
MLS Listing,,Vacant Land,Fletcher Dr,Newburgh,NY,12550,150000,,,Newburgh,,6761,,1377,,,Active,,,https://www.redfin.com/NY/Newburgh/Fletcher-Dr-12550/home/72613889,OneKey,H4953818,N,Y,41.509936,-74.092363
For-Sale-by-Owner Listing,,Multi-Family (2-4 Unit),52 S Miller St,Newburgh,NY,12550,375000,0,,Newburgh,2310,1890,1900,32,162,,Active,,,https://www.redfin.com/NY/Newburgh/52-S-Miller-St-12550/home/92370173,Fizber.com,11488746,N,Y,41.5020851,-74.0141485
